# RLC circuit analytic TF with f_res = 1.0 GHz, Q = 1000
#        Freq [GHz]     vRe []     vIm []
           1.029    0.00032767749      0.018098898
          1.0295    0.00031644608      0.017786117
            1.03    0.00030578724      0.017484099
          1.0305    0.00029566259        0.0171923
           1.031    0.00028603697      0.016910209
          1.0315    0.00027687803      0.016637349
           1.032    0.00026815603      0.016373275
          1.0325    0.00025984353      0.016117568
           1.033    0.00025191525      0.015869839
          1.0335    0.00024434781      0.015629719
           1.034    0.00023711958      0.015396862
          1.0345    0.00023021055      0.015170944
           1.035    0.00022360214       0.01495166
          1.0355    0.00021727712      0.014738722
           1.036    0.00021121948      0.014531857
          1.0365    0.00020541432       0.01433081
           1.037    0.00019984775      0.014135339
          1.0375    0.00019450685      0.013945215
           1.038    0.00018937955      0.013760221
          1.0385    0.00018445457      0.013580153
           1.039    0.00017972139      0.013404816
          1.0395    0.00017517014      0.013234026
            1.04    0.00017079158      0.013067609
          1.0405    0.00016657707      0.012905399
           1.041    0.00016251849      0.012747238
          1.0415    0.00015860822      0.012592977
           1.042    0.00015483909      0.012442472
          1.0425    0.00015120437      0.012295589
           1.043    0.00014769773      0.012152198
          1.0435     0.0001443132      0.012012176
           1.044    0.00014104515      0.011875406
          1.0445    0.00013788829      0.011741775
           1.045    0.00013483761      0.011611177
          1.0455    0.00013188839       0.01148351
           1.046    0.00012903616      0.011358676
          1.0465     0.0001262767      0.011236581
           1.047    0.00012360602      0.011117137
          1.0475    0.00012102033      0.011000259
           1.048    0.00011851606      0.010885863
          1.0485    0.00011608981      0.010773873
           1.049    0.00011373835      0.010664212
          1.0495    0.00011145864      0.010556809
            1.05    0.00010924778      0.010451595
          1.0505    0.00010710301      0.010348504
           1.051    0.00010502171      0.010247472
          1.0515    0.00010300139      0.010148438
           1.052    0.00010103969      0.010051342
          1.0525    9.9134348e-05     0.0099561298
           1.053    9.7283219e-05     0.0098627458
          1.0535    9.5484256e-05     0.0097711381
           1.054    9.3735511e-05     0.0096812564
          1.0545    9.2035124e-05     0.0095930524
           1.055    9.0381322e-05     0.0095064795
          1.0555     8.877241e-05     0.0094214929
           1.056    8.7206772e-05     0.0093380494
          1.0565    8.5682863e-05     0.0092561073
           1.057    8.4199207e-05     0.0091756263
          1.0575    8.2754394e-05     0.0090965678
           1.058    8.1347072e-05     0.0090188943
          1.0585     7.997595e-05     0.0089425697
           1.059    7.8639791e-05     0.0088675592
          1.0595    7.7337412e-05     0.0087938292
            1.06    7.6067679e-05     0.0087213469
          1.0605    7.4829504e-05     0.0086500812
           1.061    7.3621845e-05     0.0085800014
          1.0615    7.2443703e-05     0.0085110784
           1.062     7.129412e-05     0.0084432836
          1.0625    7.0172175e-05     0.0083765895
           1.063    6.9076986e-05     0.0083109695
          1.0635    6.8007704e-05      0.008246398
           1.064    6.6963515e-05     0.0081828498
          1.0645    6.5943636e-05     0.0081203009
           1.065    6.4947314e-05     0.0080587279
          1.0655    6.3973825e-05     0.0079981081
           1.066    6.3022475e-05     0.0079384194
          1.0665    6.2092593e-05     0.0078796407
           1.067    6.1183535e-05     0.0078217512
          1.0675     6.029468e-05     0.0077647308
           1.068    5.9425432e-05     0.0077085602
          1.0685    5.8575215e-05     0.0076532205
           1.069    5.7743474e-05     0.0075986933
          1.0695    5.6929675e-05     0.0075449609
            1.07    5.6133304e-05     0.0074920059
          1.0705    5.5353863e-05     0.0074398117
           1.071    5.4590873e-05      0.007388362
          1.0715    5.3843872e-05     0.0073376408
           1.072    5.3112414e-05     0.0072876329
          1.0725    5.2396068e-05     0.0072383232
           1.073    5.1694419e-05     0.0071896972
          1.0735    5.1007065e-05     0.0071417409
           1.074    5.0333618e-05     0.0070944404
          1.0745    4.9673704e-05     0.0070477823
           1.075    4.9026959e-05     0.0070017538
          1.0755    4.8393035e-05      0.006956342
           1.076    4.7771593e-05     0.0069115346
          1.0765    4.7162304e-05     0.0068673197
           1.077    4.6564853e-05     0.0068236856
          1.0775    4.5978933e-05     0.0067806208
           1.078    4.5404247e-05     0.0067381144
          1.0785    4.4840508e-05     0.0066961554
           1.079    4.4287439e-05     0.0066547334
          1.0795    4.3744769e-05     0.0066138382
            1.08    4.3212239e-05     0.0065734597
          1.0805    4.2689596e-05     0.0065335881
           1.081    4.2176595e-05     0.0064942141
          1.0815    4.1672999e-05     0.0064553282
           1.082    4.1178578e-05     0.0064169215
          1.0825    4.0693108e-05     0.0063789852
           1.083    4.0216375e-05     0.0063415107
          1.0835    3.9748168e-05     0.0063044895
           1.084    3.9288284e-05     0.0062679135
          1.0845    3.8836525e-05     0.0062317747
           1.085      3.83927e-05     0.0061960653
          1.0855    3.7956622e-05     0.0061607777
           1.086    3.7528113e-05     0.0061259044
          1.0865    3.7106996e-05     0.0060914381
           1.087      3.66931e-05     0.0060573719
          1.0875    3.6286262e-05     0.0060236986
           1.088     3.588632e-05     0.0059904117
          1.0885    3.5493118e-05     0.0059575043
           1.089    3.5106504e-05     0.0059249702
          1.0895    3.4726332e-05     0.0058928029
            1.09    3.4352457e-05     0.0058609963
          1.0905    3.3984741e-05     0.0058295443
           1.091    3.3623049e-05      0.005798441
          1.0915    3.3267247e-05     0.0057676807
           1.092    3.2917209e-05     0.0057372577
          1.0925     3.257281e-05     0.0057071664
           1.093    3.2233927e-05     0.0056774015
          1.0935    3.1900444e-05     0.0056479577
           1.094    3.1572245e-05     0.0056188298
          1.0945    3.1249219e-05     0.0055900128
           1.095    3.0931256e-05     0.0055615016
          1.0955    3.0618251e-05     0.0055332914
           1.096      3.03101e-05     0.0055053775
          1.0965    3.0006702e-05     0.0054777552
           1.097     2.970796e-05       0.00545042
          1.0975    2.9413778e-05     0.0054233673
           1.098    2.9124064e-05      0.005396593
          1.0985    2.8838726e-05     0.0053700925
           1.099    2.8557675e-05     0.0053438619
          1.0995    2.8280827e-05     0.0053178969
