# RLC circuit analytic TF with f_res = 26.0 GHz, Q = 1000
#        Freq [GHz]     vRe []     vIm []
          27.482    8.4199207e-05     0.0091756263
          27.495    8.2754394e-05     0.0090965678
          27.508    8.1347072e-05     0.0090188943
          27.521     7.997595e-05     0.0089425697
          27.534    7.8639791e-05     0.0088675592
          27.547    7.7337412e-05     0.0087938292
           27.56    7.6067679e-05     0.0087213469
          27.573    7.4829504e-05     0.0086500812
          27.586    7.3621845e-05     0.0085800014
          27.599    7.2443703e-05     0.0085110784
          27.612     7.129412e-05     0.0084432836
          27.625    7.0172175e-05     0.0083765895
          27.638    6.9076986e-05     0.0083109695
          27.651    6.8007704e-05      0.008246398
          27.664    6.6963515e-05     0.0081828498
          27.677    6.5943636e-05     0.0081203009
           27.69    6.4947314e-05     0.0080587279
          27.703    6.3973825e-05     0.0079981081
          27.716    6.3022475e-05     0.0079384194
          27.729    6.2092593e-05     0.0078796407
          27.742    6.1183535e-05     0.0078217512
          27.755     6.029468e-05     0.0077647308
          27.768    5.9425432e-05     0.0077085602
          27.781    5.8575215e-05     0.0076532205
          27.794    5.7743474e-05     0.0075986933
          27.807    5.6929675e-05     0.0075449609
           27.82    5.6133304e-05     0.0074920059
          27.833    5.5353863e-05     0.0074398117
          27.846    5.4590873e-05      0.007388362
          27.859    5.3843872e-05     0.0073376408
          27.872    5.3112414e-05     0.0072876329
          27.885    5.2396068e-05     0.0072383232
          27.898    5.1694419e-05     0.0071896972
          27.911    5.1007065e-05     0.0071417409
          27.924    5.0333618e-05     0.0070944404
          27.937    4.9673704e-05     0.0070477823
           27.95    4.9026959e-05     0.0070017538
          27.963    4.8393035e-05      0.006956342
          27.976    4.7771593e-05     0.0069115346
          27.989    4.7162304e-05     0.0068673197
          28.002    4.6564853e-05     0.0068236856
          28.015    4.5978933e-05     0.0067806208
          28.028    4.5404247e-05     0.0067381144
          28.041    4.4840508e-05     0.0066961554
          28.054    4.4287439e-05     0.0066547334
          28.067    4.3744769e-05     0.0066138382
           28.08    4.3212239e-05     0.0065734597
          28.093    4.2689596e-05     0.0065335881
          28.106    4.2176595e-05     0.0064942141
          28.119    4.1672999e-05     0.0064553282
          28.132    4.1178578e-05     0.0064169215
          28.145    4.0693108e-05     0.0063789852
          28.158    4.0216375e-05     0.0063415107
          28.171    3.9748168e-05     0.0063044895
          28.184    3.9288284e-05     0.0062679135
          28.197    3.8836525e-05     0.0062317747
           28.21      3.83927e-05     0.0061960653
          28.223    3.7956622e-05     0.0061607777
          28.236    3.7528113e-05     0.0061259044
          28.249    3.7106996e-05     0.0060914381
          28.262      3.66931e-05     0.0060573719
          28.275    3.6286262e-05     0.0060236986
          28.288     3.588632e-05     0.0059904117
          28.301    3.5493118e-05     0.0059575043
          28.314    3.5106504e-05     0.0059249702
          28.327    3.4726332e-05     0.0058928029
           28.34    3.4352457e-05     0.0058609963
          28.353    3.3984741e-05     0.0058295443
          28.366    3.3623049e-05      0.005798441
          28.379    3.3267247e-05     0.0057676807
          28.392    3.2917209e-05     0.0057372577
          28.405     3.257281e-05     0.0057071664
          28.418    3.2233927e-05     0.0056774015
          28.431    3.1900444e-05     0.0056479577
          28.444    3.1572245e-05     0.0056188298
          28.457    3.1249219e-05     0.0055900128
           28.47    3.0931256e-05     0.0055615016
          28.483    3.0618251e-05     0.0055332914
          28.496      3.03101e-05     0.0055053775
          28.509    3.0006702e-05     0.0054777552
          28.522     2.970796e-05       0.00545042
          28.535    2.9413778e-05     0.0054233673
          28.548    2.9124064e-05      0.005396593
          28.561    2.8838726e-05     0.0053700925
          28.574    2.8557675e-05     0.0053438619
          28.587    2.8280827e-05     0.0053178969
